User_ID,App,Daily_Minutes_Spent,Posts_Per_Day,Likes_Per_Day,Follows_Per_Day
U_1,Pinterest,288,16,94,0
U_2,Facebook,192,14,117,15
U_3,Instagram,351,13,120,48
U_4,TikTok,21,20,117,8
U_5,LinkedIn,241,16,9,21
U_6,Twitter,464,3,137,30
U_7,LinkedIn,229,1,188,25
U_8,LinkedIn,8,19,179,48
U_9,TikTok,80,7,14,25
U_10,Snapchat,428,6,4,41
U_11,Snapchat,52,18,124,26
U_12,Facebook,314,18,132,28
U_13,LinkedIn,26,17,198,18
U_14,Instagram,427,0,110,19
U_15,Facebook,434,2,111,16
U_16,Twitter,494,10,93,49
U_17,Snapchat,32,2,81,8
U_18,Snapchat,104,19,3,49
U_19,LinkedIn,431,7,14,38
U_20,Snapchat,347,16,187,21
U_21,LinkedIn,52,19,51,33
U_22,Facebook,100,19,42,9
U_23,Pinterest,214,9,122,16
U_24,Facebook,221,15,127,22
U_25,Instagram,280,13,42,15
U_26,LinkedIn,355,0,128,38
U_27,Twitter,188,3,5,15
U_28,TikTok,77,2,192,13
U_29,Twitter,337,18,21,44
U_30,TikTok,199,5,186,40
U_31,TikTok,321,4,136,18
U_32,Twitter,119,17,97,3
U_33,TikTok,396,10,37,36
U_34,Pinterest,112,8,82,21
U_35,Snapchat,63,0,86,44
U_36,Twitter,108,0,163,40
U_37,TikTok,252,3,6,39
U_38,LinkedIn,233,15,197,25
U_39,Pinterest,180,20,127,3
U_40,Twitter,289,20,131,14
U_41,Facebook,75,10,19,38
U_42,Twitter,51,10,21,9
U_43,Facebook,187,20,146,20
U_44,LinkedIn,215,10,157,31
U_45,Facebook,202,1,64,12
U_46,Pinterest,206,11,150,1
U_47,Pinterest,295,1,47,23
U_48,Pinterest,43,19,16,38
U_49,LinkedIn,5,7,38,40
U_50,LinkedIn,167,10,33,27
U_51,Facebook,78,9,166,22
U_52,Pinterest,319,19,170,21
U_53,Pinterest,172,2,151,44
U_54,Snapchat,485,13,40,24
U_55,Snapchat,402,14,41,40
U_56,Twitter,215,1,120,10
U_57,Facebook,104,20,46,27
U_58,LinkedIn,363,7,194,24
U_59,Facebook,312,9,96,15
U_60,TikTok,39,14,80,32
U_61,LinkedIn,260,10,159,19
U_62,LinkedIn,379,17,48,44
U_63,Facebook,208,15,92,9
U_64,Pinterest,341,13,4,41
U_65,Snapchat,28,9,53,15
U_66,Instagram,407,13,192,18
U_67,Facebook,498,16,176,18
U_68,TikTok,21,6,38,43
U_69,TikTok,474,8,112,7
U_70,Instagram,36,20,134,43
U_71,Twitter,461,20,156,6
U_72,Pinterest,178,18,135,5
U_73,Snapchat,361,18,190,48
U_74,Pinterest,24,15,31,3
U_75,Snapchat,149,4,153,15
U_76,Snapchat,250,11,200,13
U_77,Instagram,251,19,67,47
U_78,TikTok,153,7,107,4
U_79,Instagram,394,17,23,7
U_80,LinkedIn,344,1,125,10
U_81,Instagram,454,10,112,39
U_82,Instagram,59,8,96,9
U_83,Instagram,289,19,15,33
U_84,Facebook,497,4,17,19
U_85,Twitter,450,18,142,44
U_86,Twitter,74,20,197,12
U_87,Facebook,492,17,116,45
U_88,Snapchat,156,18,3,14
U_89,Twitter,335,10,33,25
U_90,Pinterest,114,11,60,39
U_91,Snapchat,31,8,143,21
U_92,Pinterest,316,12,117,2
U_93,TikTok,189,19,111,25
U_94,Snapchat,106,20,144,42
U_95,Pinterest,227,3,53,13
U_96,Pinterest,267,17,192,35
U_97,Twitter,36,13,132,16
U_98,Snapchat,9,14,117,48
U_99,Pinterest,122,1,146,40
U_100,Instagram,479,16,61,6
U_101,LinkedIn,82,13,137,8
U_102,Pinterest,17,18,133,11
U_103,Pinterest,413,19,123,9
U_104,Twitter,159,16,80,10
U_105,TikTok,148,1,124,13
U_106,Instagram,485,5,193,18
U_107,LinkedIn,61,9,41,24
U_108,Pinterest,325,6,6,41
U_109,Snapchat,391,0,117,17
U_110,Snapchat,441,14,178,4
U_111,Instagram,405,13,108,21
U_112,LinkedIn,175,18,167,40
U_113,TikTok,419,6,94,35
U_114,Facebook,498,18,199,50
U_115,LinkedIn,457,16,124,29
U_116,Pinterest,42,16,96,19
U_117,Snapchat,280,9,154,8
U_118,Instagram,10,18,99,30
U_119,Facebook,256,1,32,11
U_120,Snapchat,41,1,101,30
U_121,Snapchat,319,20,5,45
U_122,Instagram,50,8,168,12
U_123,LinkedIn,129,1,1,31
U_124,TikTok,40,17,152,44
U_125,Twitter,436,19,29,28
U_126,Pinterest,275,18,4,27
U_127,Facebook,464,5,17,22
U_128,LinkedIn,368,2,16,33
U_129,Facebook,20,9,11,16
U_130,Twitter,137,4,35,1
U_131,Pinterest,78,8,9,37
U_132,Pinterest,382,6,48,33
U_133,Facebook,49,15,11,49
U_134,Twitter,396,20,143,8
U_135,Snapchat,218,17,157,33
U_136,Facebook,39,18,43,44
U_137,Instagram,145,14,25,17
U_138,Pinterest,295,2,167,42
U_139,Instagram,277,15,67,35
U_140,TikTok,297,18,123,7
U_141,Snapchat,253,18,50,43
U_142,Pinterest,332,10,50,39
U_143,Facebook,173,17,43,44
U_144,Twitter,384,10,7,26
U_145,Instagram,481,4,94,17
U_146,Snapchat,288,15,152,0
U_147,Snapchat,447,2,171,25
U_148,LinkedIn,231,6,9,30
U_149,Snapchat,78,17,194,19
U_150,Instagram,346,3,64,35
U_151,Twitter,417,20,55,6
U_152,Pinterest,34,19,119,39
U_153,Facebook,479,17,68,0
U_154,Pinterest,134,9,128,30
U_155,TikTok,246,14,81,41
U_156,Pinterest,105,4,144,5
U_157,LinkedIn,418,12,126,8
U_158,LinkedIn,296,1,154,49
U_159,LinkedIn,384,12,71,17
U_160,LinkedIn,426,2,14,47
U_161,LinkedIn,191,12,75,44
U_162,Facebook,369,6,94,13
U_163,Twitter,389,1,200,11
U_164,Twitter,489,0,115,33
U_165,Pinterest,371,7,35,20
U_166,Instagram,50,20,95,42
U_167,Facebook,492,3,182,6
U_168,Instagram,444,15,193,27
U_169,TikTok,145,10,155,47
U_170,Snapchat,377,1,130,18
U_171,LinkedIn,299,11,67,9
U_172,TikTok,477,19,101,6
U_173,Twitter,493,12,182,41
U_174,LinkedIn,33,2,22,50
U_175,Instagram,180,20,30,4
U_176,Snapchat,268,15,91,28
U_177,LinkedIn,220,14,196,6
U_178,Instagram,391,1,141,13
U_179,Instagram,90,10,90,9
U_180,TikTok,219,13,106,39
U_181,Instagram,161,16,92,11
U_182,TikTok,107,18,50,20
U_183,Twitter,370,20,188,10
U_184,TikTok,25,8,48,37
U_185,TikTok,193,4,20,47
U_186,TikTok,413,0,140,46
U_187,TikTok,425,15,129,20
